scenario        , approach                  , approach_wt, approach_ct, approach_gt,   frame_wt ,   frame_ct ,   frame_gt ,         dt ,  buffer_wt ,  buffer_ct ,  buffer_gt ,  buffer_ge ,  upload_wt ,  upload_ct ,  upload_gt ,  upload_ge ,   clear_wt ,   clear_ct ,   clear_gt ,   clear_ge ,    draw_wt ,    draw_ct ,    draw_gt ,    draw_ge ,    pres_wt ,    pres_ct ,    pres_gt ,    pres_ge
mediaplayer     , ssbo_instr_combo_20       ,   62.275ms ,   22.733ms ,   45.922ms ,   17.625ms ,   18.023ms ,   35.185ms ,   61.965ms ,    0.137ms ,    0.123ms ,    0.023ms ,    0.000ms ,    0.220ms ,    0.225ms ,    0.057ms ,    0.011ms ,    0.801ms ,    0.806ms ,    0.325ms ,    0.301ms ,    0.680ms ,    0.684ms ,   32.333ms ,   32.318ms ,   15.787ms ,   16.185ms ,    2.446ms ,    0.836ms
mediaplayer     , one_ssbo_ext_no_sdf       ,   20.546ms ,   12.187ms ,   20.094ms ,    7.198ms ,    7.568ms ,   10.334ms ,   20.352ms ,    0.137ms ,    0.121ms ,    0.014ms ,    0.000ms ,    0.173ms ,    0.186ms ,    0.036ms ,    0.007ms ,    0.792ms ,    0.789ms ,    0.216ms ,    0.202ms ,    0.662ms ,    0.668ms ,    9.192ms ,    9.186ms ,    5.434ms ,    5.804ms ,    0.876ms ,    0.545ms
mediaplayer     , one_ssbo_ext_sdf_list     ,   26.459ms ,   11.954ms ,   25.910ms ,    7.078ms ,    7.463ms ,   16.658ms ,   26.207ms ,    0.150ms ,    0.137ms ,    0.015ms ,    0.000ms ,    0.178ms ,    0.179ms ,    0.036ms ,    0.007ms ,    0.786ms ,    0.791ms ,    0.210ms ,    0.195ms ,    0.661ms ,    0.674ms ,   15.530ms ,   15.522ms ,    5.303ms ,    5.682ms ,    0.867ms ,    0.533ms
mediaplayer     , one_ssbo_ext_one_sdf      ,   23.782ms ,   10.884ms ,   22.997ms ,    6.718ms ,    7.177ms ,   14.107ms ,   23.557ms ,    0.137ms ,    0.129ms ,    0.014ms ,    0.000ms ,    0.211ms ,    0.217ms ,    0.036ms ,    0.007ms ,    0.857ms ,    0.862ms ,    0.210ms ,    0.195ms ,    0.662ms ,    0.664ms ,   12.980ms ,   12.973ms ,    4.851ms ,    5.305ms ,    0.866ms ,    0.533ms
mediaplayer     , one_ssbo_ext_one_sdf_pack ,   28.749ms ,   10.851ms ,   27.958ms ,    6.705ms ,    7.135ms ,   19.116ms ,   28.464ms ,    0.144ms ,    0.139ms ,    0.015ms ,    0.000ms ,    0.214ms ,    0.220ms ,    0.036ms ,    0.007ms ,    0.883ms ,    0.877ms ,    0.211ms ,    0.197ms ,    0.661ms ,    0.669ms ,   17.910ms ,   17.902ms ,    4.803ms ,    5.230ms ,    0.944ms ,    0.533ms
mediaplayer     , inst_div                  ,   22.077ms ,   11.876ms ,   21.337ms ,    7.347ms ,    7.842ms ,   11.741ms ,   21.857ms ,    0.156ms ,    0.145ms ,    0.015ms ,    0.000ms ,    0.218ms ,    0.225ms ,    0.036ms ,    0.007ms ,    0.967ms ,    0.970ms ,    0.211ms ,    0.196ms ,    0.726ms ,    0.725ms ,   10.498ms ,   10.490ms ,    5.280ms ,    5.777ms ,    0.981ms ,    0.534ms
demo            , one_ssbo_ext_one_sdf_demo ,   14.016ms ,   12.400ms ,   13.237ms ,    7.538ms ,    7.995ms ,    3.296ms ,   13.898ms ,    0.136ms ,    0.113ms ,    0.016ms ,    0.000ms ,    0.273ms ,    0.277ms ,    0.040ms ,    0.008ms ,    0.991ms ,    0.993ms ,    0.230ms ,    0.213ms ,    0.769ms ,    0.786ms ,    0.867ms ,    0.856ms ,    5.369ms ,    5.826ms ,    2.144ms ,    1.728ms
sublime         , 1rect_1draw               ,  490.727ms ,  617.788ms ,  489.779ms ,  470.371ms ,  611.800ms ,  297.760ms ,  486.017ms ,    0.070ms ,    0.054ms ,    0.051ms ,    0.000ms ,    0.049ms ,    0.054ms ,    0.125ms ,    0.025ms ,    1.335ms ,    1.554ms ,    0.989ms ,    0.936ms ,  462.957ms ,  599.990ms ,  292.282ms ,   66.696ms ,    5.960ms ,   10.148ms ,    4.313ms ,    1.831ms
sublime         , simple_vbo                ,   39.211ms ,   18.790ms ,   36.932ms ,   15.097ms ,   15.369ms ,   19.852ms ,   38.978ms ,    5.824ms ,    5.889ms ,    0.036ms ,    0.000ms ,    2.591ms ,    2.593ms ,    0.093ms ,    0.019ms ,    0.629ms ,    0.618ms ,    0.488ms ,    0.447ms ,    0.301ms ,    0.304ms ,   17.311ms ,   17.277ms ,    5.752ms ,    5.965ms ,    1.923ms ,    1.194ms
sublime         , simple_vbo_stor           ,   31.831ms ,   17.635ms ,   31.645ms ,   14.157ms ,   14.290ms ,   14.860ms ,   31.567ms ,    5.729ms ,    5.731ms ,    0.020ms ,    0.000ms ,    3.827ms ,    3.822ms ,    3.629ms ,    3.587ms ,    0.626ms ,    0.624ms ,    0.193ms ,    0.171ms ,    0.294ms ,    0.289ms ,    9.668ms ,    9.654ms ,    3.681ms ,    3.824ms ,    1.351ms ,    0.674ms
sublime         , complete_vbo              ,   95.369ms ,   46.185ms ,   91.905ms ,   42.382ms ,   42.657ms ,   48.573ms ,   94.287ms ,   23.361ms ,   23.571ms ,    0.045ms ,    0.000ms ,   10.913ms ,   10.910ms ,    0.114ms ,    0.023ms ,    0.698ms ,    0.694ms ,    1.065ms ,    1.012ms ,    0.470ms ,    0.473ms ,   45.067ms ,   45.018ms ,    6.940ms ,    7.009ms ,    2.282ms ,    1.530ms
sublime         , one_ssbo                  ,   40.826ms ,   21.034ms ,   40.449ms ,   15.603ms ,   16.163ms ,   21.845ms ,   40.452ms ,    5.554ms ,    5.550ms ,    0.022ms ,    0.000ms ,    2.601ms ,    2.823ms ,    0.055ms ,    0.011ms ,    1.151ms ,    1.148ms ,    0.303ms ,    0.279ms ,    0.833ms ,    0.833ms ,   20.332ms ,   20.316ms ,    5.464ms ,    5.809ms ,    1.133ms ,    0.704ms
