scenario        , approach                  , frame ,   frame_wt ,   frame_ct ,   frame_gt ,         dt ,  buffer_wt ,  buffer_ct ,  buffer_gt ,  buffer_ge ,  upload_wt ,  upload_ct ,  upload_gt ,  upload_ge ,   clear_wt ,   clear_ct ,   clear_gt ,   clear_ge ,    draw_wt ,    draw_ct ,    draw_gt ,    draw_ge ,    pres_wt ,    pres_ct ,    pres_gt ,    pres_ge
mediaplayer     , ssbo_inlined_instr_6_4    ,     1 ,      940us ,     1067us ,  504.240us ,        6us ,        1us ,        1us ,    0.560us ,    0.000us ,        7us ,        6us ,    1.400us ,    0.280us ,        4us ,        5us ,    7.080us ,    6.480us ,       15us ,       15us ,  471.120us ,  470.640us ,      913us ,     1040us ,   24.080us ,   19.760us
mediaplayer     , ssbo_inlined_instr_8_4    ,     1 ,      183us ,      189us ,  501.560us ,        4us ,        2us ,        1us ,    0.560us ,    0.000us ,        7us ,        8us ,    1.400us ,    0.280us ,        7us ,        6us ,    7.000us ,    6.320us ,       22us ,       22us ,  468.840us ,  468.280us ,      145us ,      152us ,   23.760us ,   19.360us
mediaplayer     , ssbo_inlined_instr_10_4   ,     1 ,      173us ,      179us ,  506.640us ,        5us ,        1us ,        2us ,    0.520us ,    0.000us ,        5us ,        4us ,    1.440us ,    0.280us ,        4us ,        4us ,    7.080us ,    6.520us ,       15us ,       15us ,  474.240us ,  473.760us ,      148us ,      154us ,   23.360us ,   19.040us
mediaplayer     , ssbo_inlined_instr_20_4   ,     1 ,      172us ,      178us ,  506.800us ,        3us ,        2us ,        2us ,    0.560us ,    0.000us ,        7us ,        6us ,    1.400us ,    0.280us ,        5us ,        5us ,    7.000us ,    6.360us ,       18us ,       18us ,  473.000us ,  472.440us ,      140us ,      147us ,   24.840us ,   20.560us
mediaplayer     , ssbo_instr_combo_4        ,     1 ,      188us ,      194us ,  506.040us ,        5us ,        1us ,        1us ,    0.560us ,    0.000us ,       10us ,       10us ,    1.320us ,    0.280us ,        5us ,        5us ,    6.840us ,    6.280us ,       20us ,       20us ,  473.400us ,  472.920us ,      152us ,      158us ,   23.920us ,   19.600us
mediaplayer     , ssbo_instr_combo_6        ,     1 ,     2511us ,     2646us ,  543.600us ,        4us ,        1us ,        1us ,    0.560us ,    0.000us ,        6us ,        6us ,    1.400us ,    0.280us ,        6us ,        6us ,    7.160us ,    6.560us ,       19us ,       20us ,  510.160us ,  509.680us ,     2479us ,     2613us ,   24.320us ,   19.880us
mediaplayer     , ssbo_instr_combo_8        ,     1 ,     1777us ,     1924us ,  578.600us ,        5us ,        1us ,        1us ,    0.560us ,    0.000us ,        7us ,        7us ,    1.400us ,    0.280us ,        6us ,        6us ,    6.960us ,    6.280us ,       23us ,       23us ,  546.000us ,  545.400us ,     1740us ,     1887us ,   23.680us ,   19.320us
mediaplayer     , ssbo_instr_combo_10       ,     1 ,     4209us ,     4347us ,  627.680us ,        5us ,        1us ,        1us ,    0.600us ,    0.000us ,        6us ,        5us ,    1.440us ,    0.280us ,        6us ,        6us ,   14.400us ,   13.840us ,       20us ,       21us ,  583.600us ,  583.360us ,     4176us ,     4314us ,   27.640us ,   20.080us
mediaplayer     , ssbo_instr_combo_20       ,     1 ,     5129us ,     5297us ,  797.920us ,        5us ,        2us ,        2us ,    0.560us ,    0.000us ,        7us ,        7us ,    1.400us ,    0.240us ,        7us ,        7us ,   13.520us ,   12.920us ,       24us ,       24us ,  753.360us ,  753.200us ,     5089us ,     5257us ,   29.080us ,   21.280us
mediaplayer     , one_ssbo_ext_no_sdf       ,     1 ,      356us ,      498us ,  335.520us ,        5us ,        1us ,        1us ,    0.520us ,    0.000us ,        7us ,        7us ,    1.360us ,    0.280us ,        6us ,        6us ,    7.840us ,    7.280us ,       22us ,       22us ,  301.000us ,  300.840us ,      320us ,      462us ,   24.800us ,   19.640us
mediaplayer     , one_ssbo_ext_sdf_list     ,     1 ,      325us ,      443us ,  611.480us ,        3us ,        1us ,        1us ,    0.560us ,    0.000us ,        6us ,        6us ,    1.360us ,    0.280us ,        5us ,        5us ,    6.960us ,    6.400us ,       14us ,       15us ,  578.280us ,  577.720us ,      299us ,      416us ,   24.320us ,   19.880us
mediaplayer     , one_ssbo_ext_one_sdf      ,     1 ,      617us ,      738us ,  513.880us ,        4us ,        1us ,        1us ,    0.560us ,    0.000us ,        6us ,        6us ,    1.360us ,    0.240us ,        5us ,        5us ,    7.360us ,    6.800us ,       19us ,       19us ,  480.560us ,  480.360us ,      586us ,      707us ,   24.040us ,   19.280us
mediaplayer     , one_ssbo_ext_one_sdf_pack ,     1 ,      384us ,      500us ,  705.320us ,        4us ,        2us ,        2us ,    0.560us ,    0.000us ,        5us ,        5us ,    1.400us ,    0.280us ,        4us ,        4us ,    7.000us ,    6.400us ,       15us ,       15us ,  672.520us ,  671.960us ,      358us ,      474us ,   23.840us ,   19.520us
mediaplayer     , inst_div                  ,     1 ,      579us ,      700us ,  425.080us ,        3us ,        1us ,        1us ,    0.520us ,    0.000us ,        2us ,        3us ,    1.360us ,    0.280us ,        6us ,        5us ,    6.760us ,    6.080us ,       19us ,       19us ,  391.880us ,  391.320us ,      551us ,      672us ,   24.560us ,   19.920us
demo            , one_ssbo_ext_one_sdf_demo ,     1 ,      448us ,      564us ,  101.600us ,        4us ,        1us ,        0us ,    0.520us ,    0.000us ,        6us ,        6us ,    1.360us ,    0.280us ,        3us ,        4us ,    6.880us ,    6.320us ,       15us ,       14us ,   26.560us ,   26.120us ,      423us ,      540us ,   66.280us ,   57.040us
