scenario        , approach                  , frame ,   frame_wt ,   frame_ct ,   frame_gt ,         dt ,  buffer_wt ,  buffer_ct ,  buffer_gt ,  buffer_ge ,  upload_wt ,  upload_ct ,  upload_gt ,  upload_ge ,   clear_wt ,   clear_ct ,   clear_gt ,   clear_ge ,    draw_wt ,    draw_ct ,    draw_gt ,    draw_ge ,    pres_wt ,    pres_ct ,    pres_gt ,    pres_ge
sublime         , one_ssbo_ext_one_sdf_pack ,     1 ,      414us ,      414us , 4564.000us ,        6us ,       71us ,       72us ,    0.917us ,    0.000us ,       38us ,       37us ,    2.000us ,    0.166us ,        7us ,        7us ,  724.917us ,  723.083us ,       26us ,       26us , 3823.250us , 3821.333us ,      272us ,      272us ,   12.916us ,   11.083us
sublime         , inst_div                  ,     1 ,      512us ,      693us , 5961.750us ,        6us ,       98us ,       98us ,    0.917us ,    0.000us ,       59us ,       59us ,    2.000us ,    0.166us ,        8us ,        8us ,  743.750us ,  741.833us ,       36us ,       36us , 3908.166us , 3906.333us ,      311us ,      492us , 1306.917us , 1305.666us
mediaplayer     , 1rect_1draw               ,     1 ,      323us ,      323us , 1225.750us ,        5us ,        1us ,        0us ,    0.250us ,    0.000us ,        2us ,        2us ,    0.584us ,    0.000us ,        6us ,        7us ,  277.083us ,  276.583us ,       55us ,       55us ,  943.583us ,  943.083us ,      259us ,      259us ,    4.250us ,    3.750us
mediaplayer     , simple_vbo                ,     1 ,      196us ,      196us ,  743.334us ,        6us ,        2us ,        2us ,    0.250us ,    0.000us ,       18us ,       19us ,    0.667us ,    0.083us ,        7us ,        6us ,  231.417us ,  230.833us ,       21us ,       22us ,  506.583us ,  505.916us ,      148us ,      147us ,    4.417us ,    3.750us
mediaplayer     , simple_vbo_stor           ,     1 ,      163us ,      164us , 1040.500us ,        5us ,        2us ,        2us ,    0.416us ,    0.000us ,       16us ,       17us ,    0.917us ,    0.083us ,        8us ,        8us ,  321.333us ,  320.500us ,       18us ,       17us ,  711.834us ,  710.916us ,      119us ,      120us ,    6.000us ,    5.166us
mediaplayer     , complete_vbo              ,     1 ,      154us ,      153us , 3827.667us ,        4us ,        4us ,        3us ,    0.917us ,    0.000us ,       13us ,       13us ,    2.000us ,    0.166us ,        6us ,        7us ,  710.833us ,  708.916us ,       22us ,       21us , 3100.500us , 3098.666us ,      109us ,      109us ,   13.417us ,   11.500us
mediaplayer     , one_ssbo                  ,     1 ,      209us ,      210us , 5164.917us ,        5us ,        1us ,        1us ,    0.917us ,    0.000us ,        6us ,        5us ,    2.000us ,    0.166us ,        6us ,        7us ,  708.750us ,  706.916us ,       21us ,       21us , 4439.667us , 4437.833us ,      175us ,      176us ,   13.583us ,   11.666us
mediaplayer     , ssbo_instr_list           ,     1 ,      228us ,      227us , 19032.250us ,        5us ,        2us ,        2us ,    0.916us ,    0.000us ,       16us ,       16us ,    4.834us ,    0.166us ,        7us ,        7us ,  732.500us ,  730.666us ,       26us ,       26us , 14152.166us , 14150.333us ,      177us ,      176us , 4141.834us , 4140.000us
mediaplayer     , ssbo_inlined_instr_6      ,     1 ,      256us ,      256us , 10004.333us ,        5us ,        2us ,        2us ,    0.916us ,    0.000us ,        6us ,        6us ,    4.500us ,    0.083us ,        7us ,        7us ,  709.667us ,  707.833us ,       25us ,       24us , 6991.000us , 6989.166us ,      216us ,      217us , 2298.250us , 2296.333us
mediaplayer     , ssbo_inlined_instr_4_4    ,     1 ,      664us ,      664us , 7195.917us ,        5us ,        2us ,        3us ,    0.917us ,    0.000us ,       20us ,       19us ,    5.000us ,    0.083us ,        7us ,        7us ,  694.250us ,  692.250us ,       23us ,       24us , 5797.666us , 5796.500us ,      612us ,      611us ,  698.084us ,  697.583us
mediaplayer     , ssbo_inlined_instr_6_6    ,     1 ,      501us ,      501us , 2154.834us ,        5us ,        3us ,        2us ,    0.250us ,    0.000us ,        5us ,        6us ,    0.500us ,    0.000us ,        7us ,        7us ,  220.500us ,  219.916us ,       25us ,       24us , 1929.334us , 1928.833us ,      461us ,      462us ,    4.250us ,    3.750us
mediaplayer     , ssbo_inlined_instr_8_8    ,     1 ,      677us ,      677us , 3684.083us ,        5us ,        2us ,        2us ,    0.417us ,    0.000us ,        8us ,        8us ,    1.000us ,    0.000us ,        8us ,        8us ,  321.750us ,  320.916us ,       24us ,       24us , 3354.666us , 3353.833us ,      635us ,      635us ,    6.250us ,    5.333us
mediaplayer     , ssbo_inlined_instr_10_10  ,     1 ,      804us ,      805us , 6792.667us ,        5us ,        2us ,        3us ,    0.417us ,    0.000us ,        6us ,        5us ,    1.000us ,    0.083us ,        6us ,        7us ,  353.333us ,  352.416us ,       23us ,       22us , 3921.250us , 3920.416us ,      767us ,      768us , 2516.667us , 2515.666us
mediaplayer     , ssbo_inlined_instr_20_20  ,     1 ,      965us ,      964us , 14852.667us ,        5us ,        2us ,        2us ,    0.917us ,    0.000us ,       11us ,       10us ,    5.083us ,    3.166us ,        6us ,        7us ,  695.084us ,  693.166us ,       24us ,       24us , 10589.166us , 10587.333us ,      922us ,      921us , 3562.417us , 3561.250us
mediaplayer     , ssbo_inlined_instr_4_6    ,     1 ,     1817us ,     1817us , 2213.167us ,        5us ,        2us ,        2us ,    0.250us ,    0.000us ,        6us ,        7us ,    0.500us ,    0.000us ,        8us ,        7us ,  212.000us ,  211.500us ,       23us ,       23us , 1996.500us , 1996.000us ,     1778us ,     1778us ,    3.917us ,    3.333us
mediaplayer     , ssbo_inlined_instr_4_8    ,     1 ,      660us ,      660us , 4298.167us ,        5us ,        2us ,        2us ,    0.334us ,    0.000us ,        6us ,        6us ,    0.666us ,    0.000us ,        5us ,        5us ,  249.917us ,  249.250us ,       20us ,       20us , 4042.000us , 4041.416us ,      627us ,      627us ,    5.250us ,    4.666us
mediaplayer     , ssbo_inlined_instr_4_10   ,     1 ,      855us ,      855us , 17181.500us ,        5us ,        3us ,        2us ,    0.916us ,    0.000us ,        5us ,        6us ,    2.000us ,    0.166us ,        7us ,        7us ,  698.084us ,  693.000us ,       26us ,       25us , 12676.166us , 12674.416us ,      814us ,      815us , 3804.334us , 3802.666us
mediaplayer     , ssbo_inlined_instr_4_20   ,     1 ,     1023us ,     1024us , 25855.167us ,        5us ,        2us ,        2us ,    1.000us ,    0.000us ,        6us ,        7us ,    2.000us ,    0.083us ,        7us ,        7us ,  712.250us ,  707.583us ,       26us ,       26us , 23912.000us , 23910.833us ,      982us ,      982us , 1227.917us , 1227.500us
mediaplayer     , ssbo_inlined_instr_6_4    ,     1 ,     1974us ,     1975us , 2811.083us ,        5us ,        3us ,        3us ,    0.250us ,    0.000us ,       20us ,       20us ,    0.500us ,    0.000us ,        8us ,        8us ,  206.750us ,  206.250us ,       26us ,       26us , 1774.417us , 1773.833us ,     1917us ,     1918us ,  829.166us ,  828.666us
mediaplayer     , ssbo_inlined_instr_8_4    ,     1 ,      523us ,      523us , 3385.917us ,        5us ,        2us ,        2us ,    0.333us ,    0.000us ,        7us ,        6us ,    0.667us ,    0.083us ,        6us ,        7us ,  233.833us ,  233.250us ,       25us ,       25us , 2153.667us , 2153.083us ,      483us ,      483us ,  997.417us ,  996.750us
mediaplayer     , ssbo_inlined_instr_10_4   ,     1 ,      478us ,      479us , 8739.500us ,        6us ,        2us ,        3us ,    0.917us ,    0.000us ,        7us ,        6us ,    2.000us ,    0.083us ,        5us ,        5us ,  696.833us ,  694.916us ,       20us ,       21us , 5994.500us , 5992.666us ,      444us ,      444us , 2045.250us , 2043.416us
mediaplayer     , ssbo_inlined_instr_20_4   ,     1 ,      499us ,      500us , 8571.167us ,        5us ,        3us ,        3us ,    0.917us ,    0.000us ,        6us ,        6us ,    2.000us ,    0.166us ,        5us ,        5us ,  731.250us ,  729.416us ,       20us ,       20us , 6262.333us , 6260.500us ,      465us ,      466us , 1574.667us , 1572.833us
mediaplayer     , ssbo_instr_combo_4        ,     1 ,      505us ,      506us , 9402.417us ,        5us ,        2us ,        2us ,    0.917us ,    0.000us ,       14us ,       14us ,    2.000us ,    0.083us ,        5us ,        5us ,  730.750us ,  728.833us ,       21us ,       21us , 6172.333us , 6170.500us ,      463us ,      464us , 2496.417us , 2494.500us
mediaplayer     , ssbo_instr_combo_6        ,     1 ,      498us ,      499us , 10011.250us ,        5us ,        1us ,        2us ,    0.916us ,    0.000us ,        7us ,        7us ,    2.000us ,    0.166us ,        6us ,        6us ,  725.084us ,  723.250us ,       24us ,       24us , 6903.500us , 6901.583us ,      460us ,      460us , 2379.750us , 2377.833us
mediaplayer     , ssbo_instr_combo_8        ,     1 ,      678us ,      678us , 10432.250us ,        6us ,        1us ,        1us ,    0.917us ,    0.000us ,        7us ,        7us ,    2.000us ,    0.166us ,        8us ,        8us ,  695.000us ,  693.166us ,       24us ,       24us , 7494.666us , 7492.833us ,      638us ,      638us , 2239.667us , 2237.833us
mediaplayer     , ssbo_instr_combo_10       ,     1 ,      839us ,      839us , 6076.916us ,        5us ,        2us ,        2us ,    0.916us ,    0.000us ,        7us ,        6us ,    2.000us ,    0.083us ,        7us ,        7us ,  696.500us ,  694.583us ,       24us ,       25us , 4737.834us , 4736.666us ,      799us ,      799us ,  639.666us ,  639.166us
mediaplayer     , ssbo_instr_combo_20       ,     1 ,     1108us ,     1108us , 3462.250us ,       12us ,        4us ,        4us ,    0.250us ,    0.000us ,       15us ,       16us ,    0.583us ,    0.083us ,       13us ,       12us ,  229.333us ,  228.833us ,       69us ,       70us , 3227.750us , 3227.166us ,     1007us ,     1006us ,    4.334us ,    3.750us
mediaplayer     , one_ssbo_ext_no_sdf       ,     1 ,     1887us ,     1887us , 2555.750us ,        5us ,        2us ,        1us ,    0.500us ,    0.000us ,       20us ,       20us ,    0.917us ,    0.083us ,        6us ,        6us ,  330.000us ,  329.083us ,       22us ,       22us , 1461.417us , 1460.583us ,     1837us ,     1838us ,  762.916us ,  762.083us
mediaplayer     , one_ssbo_ext_sdf_list     ,     1 ,      239us ,      240us , 9933.750us ,        5us ,        1us ,        2us ,    0.917us ,    0.000us ,        9us ,        9us ,    2.000us ,    0.083us ,        7us ,        7us ,  710.916us ,  708.916us ,       25us ,       24us , 4958.167us , 4956.333us ,      197us ,      198us , 4261.750us , 4259.833us
mediaplayer     , one_ssbo_ext_one_sdf      ,     1 ,      248us ,      248us , 6201.083us ,        5us ,        2us ,        2us ,    1.000us ,    0.000us ,        6us ,        6us ,    2.000us ,    0.083us ,        7us ,        7us ,  711.833us ,  709.916us ,       24us ,       24us , 3262.667us , 3260.833us ,      209us ,      209us , 2223.583us , 2221.750us
mediaplayer     , one_ssbo_ext_one_sdf_pack ,     1 ,      296us ,      296us , 6221.333us ,        5us ,        2us ,        2us ,    0.917us ,    0.000us ,       11us ,       11us ,    4.916us ,    0.083us ,        7us ,        6us ,  710.000us ,  708.083us ,       24us ,       24us , 3355.250us , 3353.333us ,      252us ,      253us , 2150.250us , 2148.333us
mediaplayer     , inst_div                  ,     1 ,      293us ,      293us , 5922.083us ,        6us ,        2us ,        1us ,    0.916us ,    0.000us ,        4us ,        5us ,    4.917us ,    0.166us ,        7us ,        6us ,  693.667us ,  691.833us ,       24us ,       25us , 3135.000us , 3133.166us ,      256us ,      256us , 2087.583us , 2085.750us
demo            , one_ssbo_ext_one_sdf_demo ,     1 ,      263us ,      263us ,  896.000us ,        5us ,        1us ,        1us ,    0.917us ,    0.000us ,        7us ,        7us ,    2.000us ,    0.083us ,        7us ,        7us ,  710.083us ,  708.166us ,       22us ,       22us ,  169.334us ,  167.500us ,      226us ,      226us ,   13.666us ,   11.833us
