scenario        , approach                  , frame ,   frame_wt ,   frame_ct ,   frame_gt ,         dt ,  buffer_wt ,  buffer_ct ,  buffer_gt ,  buffer_ge ,  upload_wt ,  upload_ct ,  upload_gt ,  upload_ge ,   clear_wt ,   clear_ct ,   clear_gt ,   clear_ge ,    draw_wt ,    draw_ct ,    draw_gt ,    draw_ge ,    pres_wt ,    pres_ct ,    pres_gt ,    pres_ge
mediaplayer     , ssbo_inlined_instr_4_10   ,     1 ,     2102us ,     2141us ,  171.040us ,        1us ,        1us ,        1us ,    0.320us ,    0.000us ,        3us ,        3us ,    1.120us ,    0.160us ,        2us ,        2us ,    2.400us ,    1.920us ,       10us ,       10us ,  154.880us ,  154.560us ,     2086us ,     2125us ,   12.320us ,    7.520us
mediaplayer     , ssbo_inlined_instr_4_20   ,     1 ,     4217us ,     4264us ,  174.720us ,        2us ,        1us ,        1us ,    0.320us ,    0.000us ,        2us ,        2us ,    1.120us ,    0.160us ,        3us ,        3us ,    2.400us ,    1.920us ,       11us ,       11us ,  158.560us ,  158.240us ,     4200us ,     4247us ,   12.320us ,    7.680us
mediaplayer     , ssbo_inlined_instr_6_4    ,     1 ,      849us ,      885us ,  189.440us ,        1us ,        1us ,        1us ,    0.480us ,    0.000us ,        3us ,        3us ,    1.280us ,    0.320us ,        3us ,        2us ,    2.880us ,    2.240us ,       10us ,       11us ,  170.080us ,  169.600us ,      832us ,      868us ,   14.720us ,    8.960us
mediaplayer     , ssbo_inlined_instr_8_4    ,     1 ,       75us ,       71us ,  186.400us ,        1us ,        1us ,        0us ,    0.480us ,    0.000us ,        3us ,        4us ,    1.120us ,    0.160us ,        3us ,        2us ,    2.880us ,    2.240us ,       11us ,       11us ,  167.520us ,  167.040us ,       57us ,       54us ,   14.400us ,    9.120us
mediaplayer     , ssbo_inlined_instr_10_4   ,     1 ,       69us ,       66us ,  190.720us ,        2us ,        0us ,        1us ,    0.480us ,    0.000us ,        3us ,        3us ,    1.120us ,    0.160us ,        2us ,        2us ,    2.880us ,    2.240us ,       10us ,       10us ,  171.200us ,  170.720us ,       54us ,       50us ,   15.040us ,    8.960us
mediaplayer     , ssbo_inlined_instr_20_4   ,     1 ,      182us ,      180us ,  166.400us ,        2us ,        0us ,        0us ,    0.480us ,    0.000us ,        3us ,        4us ,    0.960us ,    0.160us ,        3us ,        2us ,    2.400us ,    1.920us ,        9us ,        9us ,  149.600us ,  149.120us ,      167us ,      165us ,   12.960us ,    7.680us
mediaplayer     , ssbo_instr_combo_4        ,     1 ,       89us ,       85us ,  167.360us ,        1us ,        1us ,        1us ,    0.480us ,    0.000us ,        4us ,        4us ,    0.960us ,    0.160us ,        2us ,        2us ,    2.400us ,    1.920us ,        9us ,       10us ,  150.880us ,  150.560us ,       73us ,       68us ,   12.640us ,    7.680us
mediaplayer     , ssbo_instr_combo_6        ,     1 ,     1267us ,     1300us ,  171.520us ,        1us ,        1us ,        0us ,    0.320us ,    0.000us ,        3us ,        3us ,    0.960us ,    0.160us ,        1us ,        2us ,    2.400us ,    1.760us ,       10us ,        9us ,  155.200us ,  154.720us ,     1252us ,     1286us ,   12.640us ,    7.520us
mediaplayer     , ssbo_instr_combo_8        ,     1 ,     1677us ,     1709us ,  175.520us ,        1us ,        1us ,        1us ,    0.480us ,    0.000us ,        2us ,        2us ,    0.960us ,    0.160us ,        2us ,        2us ,    2.400us ,    1.920us ,        9us ,        9us ,  159.040us ,  158.560us ,     1663us ,     1695us ,   12.640us ,    7.680us
mediaplayer     , ssbo_instr_combo_10       ,     1 ,     2254us ,     2292us ,  182.720us ,        2us ,        0us ,        1us ,    0.320us ,    0.000us ,        3us ,        2us ,    1.120us ,    0.160us ,        2us ,        2us ,    2.400us ,    1.920us ,        9us ,        9us ,  166.400us ,  166.080us ,     2240us ,     2278us ,   12.480us ,    7.680us
mediaplayer     , ssbo_instr_combo_20       ,     1 ,     4439us ,     4485us ,  223.840us ,        2us ,        1us ,        1us ,    0.480us ,    0.000us ,        3us ,        3us ,    0.960us ,    0.320us ,        2us ,        3us ,    2.400us ,    1.760us ,       11us ,       10us ,  207.360us ,  206.880us ,     4422us ,     4468us ,   12.640us ,    7.680us
mediaplayer     , one_ssbo_ext_no_sdf       ,     1 ,     1015us ,     1140us ,  142.720us ,        1us ,        1us ,        1us ,    0.480us ,    0.000us ,        3us ,        3us ,    0.960us ,    0.320us ,        2us ,        2us ,    2.400us ,    1.760us ,       10us ,       10us ,  126.560us ,  126.080us ,      999us ,     1124us ,   12.320us ,    7.520us
mediaplayer     , one_ssbo_ext_sdf_list     ,     1 ,      217us ,      250us ,  175.200us ,        1us ,        1us ,        0us ,    0.480us ,    0.000us ,        3us ,        3us ,    0.960us ,    0.160us ,        2us ,        2us ,    2.400us ,    1.920us ,       10us ,       10us ,  158.560us ,  158.080us ,      201us ,      235us ,   12.800us ,    7.520us
mediaplayer     , one_ssbo_ext_one_sdf      ,     1 ,      307us ,      338us ,  145.760us ,        1us ,        1us ,        0us ,    0.480us ,    0.000us ,        3us ,        3us ,    0.960us ,    0.160us ,        1us ,        2us ,    2.400us ,    1.920us ,        9us ,        8us ,  129.120us ,  128.640us ,      293us ,      325us ,   12.800us ,    7.680us
mediaplayer     , one_ssbo_ext_one_sdf_pack ,     1 ,      303us ,      335us ,  171.520us ,        2us ,        0us ,        1us ,    0.320us ,    0.000us ,        3us ,        2us ,    1.120us ,    0.160us ,        2us ,        2us ,    2.400us ,    1.920us ,        9us ,        9us ,  155.200us ,  154.880us ,      289us ,      321us ,   12.480us ,    7.840us
mediaplayer     , inst_div                  ,     1 ,      295us ,      328us ,  142.400us ,        1us ,        1us ,        1us ,    0.480us ,    0.000us ,        2us ,        2us ,    0.960us ,    0.320us ,        2us ,        2us ,    2.400us ,    1.920us ,        8us ,        8us ,  125.600us ,  125.120us ,      282us ,      315us ,   12.960us ,    7.840us
demo            , one_ssbo_ext_one_sdf_demo ,     1 ,      299us ,      332us ,   67.200us ,        1us ,        0us ,        1us ,    0.320us ,    0.000us ,        3us ,        2us ,    0.960us ,    0.160us ,        2us ,        2us ,    2.400us ,    1.760us ,        8us ,        9us ,   12.960us ,   12.480us ,      286us ,      318us ,   50.560us ,   46.720us
